time,signal_1,signal_2,unc
1.350000000000000089e+00,4.153014395001018322e+00,4.564324993097551797e+00,1.073155161864457696e+00
1.400000000000000133e+00,1.870507879548628960e+00,7.113286107302645433e+00,1.075864612303881973e+00
1.450000000000000178e+00,-1.292378710401546282e+00,5.695650174089385231e+00,1.078574062743306250e+00
1.500000000000000000e+00,4.186918926644374039e-01,8.363637468318017909e+00,1.081283513182730749e+00
1.550000000000000044e+00,-1.745448118904326940e-01,1.095215114414937929e+01,1.083992963622155026e+00
1.600000000000000089e+00,-6.555688568326257126e+00,7.897930875393887717e+00,1.086702414061579525e+00
1.650000000000000133e+00,-4.939258400398022886e+00,1.099887150419880655e+01,1.089411864501003802e+00
1.700000000000000178e+00,-5.851241824729567220e+00,8.299974920443528248e+00,1.092121314940428078e+00
1.750000000000000000e+00,-8.958732777722326901e+00,6.660993021689805005e+00,1.094830765379852355e+00
1.800000000000000044e+00,-1.017755520507962785e+01,5.733455953249093184e+00,1.097540215819276854e+00
1.850000000000000089e+00,-8.752680034573959489e+00,5.261248503403431087e+00,1.100249666258701131e+00
1.900000000000000133e+00,-1.586014975610202349e+01,4.383470727489595653e+00,1.102959116698125630e+00
1.950000000000000178e+00,-9.583381620522962052e+00,7.473451826274542853e+00,1.105668567137549907e+00
2.000000000000000000e+00,-1.271515545968281913e+01,8.271910783226134711e+00,1.108378017576974184e+00
2.050000000000000266e+00,-7.181106554261138974e+00,8.038732058309662420e+00,1.111087468016398683e+00
2.100000000000000089e+00,-4.740443102388642416e+00,1.188794398893568349e+01,1.113796918455822960e+00
2.149999999999999911e+00,-5.988779114996338748e+00,8.860347271115594836e+00,1.116506368895247236e+00
2.200000000000000178e+00,-9.005883494836817160e-01,1.022572582784360229e+01,1.119215819334671735e+00
2.250000000000000000e+00,1.365011570699028454e+00,1.106407669718151787e+01,1.121925269774096012e+00
2.300000000000000266e+00,4.659077036118415727e+00,9.058346087769596267e+00,1.124634720213520289e+00
2.350000000000000089e+00,1.761742273483834609e+00,7.071703543261245173e+00,1.127344170652944788e+00
2.400000000000000355e+00,6.501860358506708515e+00,4.293947421801702191e+00,1.130053621092369065e+00
2.450000000000000178e+00,7.752722575248298220e+00,8.599049002583981860e+00,1.132763071531793564e+00
2.500000000000000000e+00,5.723976280751942092e+00,1.435276684855529261e+01,1.135472521971217841e+00
2.550000000000000266e+00,1.099146251671301755e+01,9.142557375770874017e+00,1.138181972410642118e+00
2.600000000000000089e+00,1.347386365423669652e+01,1.127728409497245643e+01,1.140891422850066617e+00
2.650000000000000355e+00,7.776486752824905757e+00,9.551633269183726682e+00,1.143600873289490893e+00
2.700000000000000178e+00,4.508572630602616371e+00,1.079635493526239287e+01,1.146310323728915170e+00
2.750000000000000000e+00,6.442788808626058739e+00,1.171148624189855525e+01,1.149019774168339669e+00
2.800000000000000266e+00,3.033771671650947521e+00,1.131391315454848900e+01,1.151729224607763946e+00
2.850000000000000089e+00,3.305981257946653429e+00,1.042853223152341435e+01,1.154438675047188223e+00
2.900000000000000355e+00,-1.995031970348337680e-03,1.100536451662834558e+01,1.157148125486612722e+00
2.950000000000000178e+00,-2.067101476576842511e+00,8.387241374612447231e+00,1.159857575926036999e+00
3.000000000000000000e+00,-2.073804455851528949e+00,1.214814500705463729e+01,1.162567026365461498e+00
3.050000000000000266e+00,-3.072380221071845163e+00,1.166056647213202879e+01,1.165276476804885775e+00
3.100000000000000089e+00,-3.213544992122228550e+00,1.295017793029694531e+01,1.167985927244310052e+00
3.150000000000000355e+00,-9.044066950413180095e+00,1.397278263590117753e+01,1.170695377683734550e+00
3.200000000000000178e+00,-2.848452442809125795e+00,1.225192528334259379e+01,1.173404828123158827e+00
3.250000000000000000e+00,-4.332712234499901172e+00,1.329113842554283664e+01,1.176114278562583104e+00
3.300000000000000266e+00,-2.017251176551594583e+00,1.195265197493639242e+01,1.178823729002007603e+00
3.350000000000000089e+00,-1.713857266657171641e+00,1.610583334352902085e+01,1.181533179441431880e+00
3.400000000000000355e+00,3.087350811671445427e+00,1.112190211894344394e+01,1.184242629880856157e+00
3.450000000000000178e+00,4.501585977675764738e+00,1.170952584975207600e+01,1.186952080320280656e+00
3.500000000000000000e+00,2.221990490673618091e+00,1.049651921485573247e+01,1.189661530759704933e+00
3.550000000000000266e+00,6.246396843399677934e+00,1.041297297045967341e+01,1.192370981199129432e+00
3.600000000000000089e+00,3.885161143270797091e+00,1.004286248892796962e+01,1.195080431638553708e+00
3.650000000000000355e+00,6.605456190904207325e+00,1.256595644637744691e+01,1.197789882077977985e+00
3.700000000000000178e+00,8.897894395806096313e+00,1.018756582669317368e+01,1.200499332517402262e+00
3.750000000000000000e+00,5.984457843249979092e+00,1.185255841692340262e+01,1.203208782956826761e+00
3.800000000000000266e+00,7.060822669385751205e+00,8.748412449575805994e+00,1.205918233396251038e+00
3.850000000000000089e+00,5.900115145761013480e+00,9.132550855122239852e+00,1.208627683835675537e+00
3.900000000000000355e+00,6.966142629124163932e+00,6.087210889474140352e+00,1.211337134275099814e+00
3.950000000000000178e+00,6.871485214521221963e+00,8.683281060641583338e+00,1.214046584714524091e+00
4.000000000000000000e+00,2.584529816231297517e+00,1.031161108077744970e+01,1.216756035153948590e+00
4.049999999999999822e+00,1.186680325167440486e+00,9.398859579726201119e+00,1.219465485593372867e+00
4.100000000000000533e+00,-4.262694162620594085e+00,1.036489737396844646e+01,1.222174936032797365e+00
4.150000000000000355e+00,-6.892537862563591133e+00,8.475039485665153194e+00,1.224884386472221642e+00
4.200000000000000178e+00,-6.851519552551358139e+00,7.225430774655165145e+00,1.227593836911645919e+00
4.250000000000000000e+00,-1.067687904480193595e+01,8.688914604251602114e+00,1.230303287351070196e+00
4.299999999999999822e+00,-9.406445828813929211e+00,6.662477400227175828e+00,1.233012737790494695e+00
4.350000000000000533e+00,-1.171543720534138799e+01,8.915749509932984651e+00,1.235722188229918972e+00
4.400000000000000355e+00,-8.344404177204062023e+00,6.426803478012846682e+00,1.238431638669343471e+00
4.450000000000000178e+00,-9.592100907666642584e+00,4.823642653431072347e+00,1.241141089108767748e+00
4.500000000000000000e+00,-1.056481010759967987e+01,7.657785227071296497e+00,1.243850539548192025e+00
4.549999999999999822e+00,-7.367415328320152668e+00,2.817994549599342591e+00,1.246559989987616301e+00
4.600000000000000533e+00,-9.158856982830261728e+00,6.817653270543202026e+00,1.249269440427040800e+00
4.650000000000000355e+00,-7.037203839937846261e+00,9.398415577200275095e+00,1.251978890866465077e+00
4.700000000000000178e+00,-7.768635564947126149e-01,7.566190236139695990e+00,1.254688341305889576e+00
4.750000000000000000e+00,-2.290281088795441455e+00,9.349907269566523738e+00,1.257397791745313853e+00
4.800000000000000711e+00,6.017211357166352137e-01,3.985690110461161950e+00,1.260107242184738130e+00
4.850000000000000533e+00,4.542360852625904499e+00,8.973007472587619660e+00,1.262816692624162629e+00
4.900000000000000355e+00,4.197920843233462485e+00,9.635728497740915444e+00,1.265526143063586906e+00
4.950000000000000178e+00,7.462800304933816520e+00,7.692141790676991775e+00,1.268235593503011405e+00
5.000000000000000000e+00,2.146406639844413711e+00,1.006182240229095548e+01,1.270945043942435682e+00
5.050000000000000711e+00,4.406192239533424093e+00,7.231634602783318044e+00,1.273654494381859958e+00
5.100000000000000533e+00,6.728167945103392888e+00,5.978791482516990108e+00,1.276363944821284457e+00
5.150000000000000355e+00,3.392458542166065349e+00,1.255003476099497917e+01,1.279073395260708734e+00
5.200000000000000178e+00,4.599067674049106103e+00,5.239642903271882091e+00,1.281782845700133011e+00
5.250000000000000000e+00,1.713266970921434540e+00,7.119110190107458713e+00,1.284492296139557510e+00
5.300000000000000711e+00,-1.030326936330220988e+00,7.022898866722124822e+00,1.287201746578981787e+00
5.350000000000000533e+00,-7.088665839932128954e-02,9.918834145903296928e+00,1.289911197018406064e+00
5.400000000000000355e+00,-3.187239358302721204e+00,7.210647541335632127e+00,1.292620647457830563e+00
5.450000000000000178e+00,-5.043257654328458628e+00,8.517899861569636855e+00,1.295330097897254840e+00
5.500000000000000000e+00,-8.310415925198364917e+00,8.912891137669681996e+00,1.298039548336679117e+00
5.550000000000000711e+00,-8.719701677158230524e+00,1.073126581775159671e+01,1.300748998776103615e+00
5.600000000000000533e+00,-8.497084119536284064e+00,1.266354305463591956e+01,1.303458449215527892e+00
5.650000000000000355e+00,-6.895581290426318510e+00,8.626442074496383228e+00,1.306167899654952169e+00
5.700000000000000178e+00,-9.378290644377900165e+00,1.092315807398749428e+01,1.308877350094376668e+00
5.750000000000000000e+00,-7.132262067986058440e+00,1.171462332821335472e+01,1.311586800533800945e+00
5.800000000000000711e+00,-4.607821589048393562e+00,1.244796596350039408e+01,1.314296250973225444e+00
5.850000000000000533e+00,-1.962483061449793453e-01,1.210255830148913248e+01,1.317005701412649721e+00
5.900000000000000355e+00,-6.584469892447228911e-01,1.343715074995646219e+01,1.319715151852073998e+00
5.950000000000000178e+00,-3.778502371700072082e-01,1.099435262828206739e+01,1.322424602291498275e+00
6.000000000000000000e+00,5.264806574499164782e+00,9.512531305477859078e+00,1.325134052730922773e+00
6.050000000000000711e+00,6.194587400176057912e+00,1.341350501205377199e+01,1.327843503170347272e+00
6.100000000000000533e+00,8.121467724124656229e+00,1.418818588590674779e+01,1.330552953609771549e+00
6.150000000000000355e+00,7.398229510853566282e+00,1.570015716761483482e+01,1.333262404049195826e+00
6.200000000000000178e+00,1.090997834893894414e+01,1.319329341947799783e+01,1.335971854488620103e+00
6.250000000000000000e+00,9.299685659762076284e+00,1.260654222935315261e+01,1.338681304928044602e+00
6.300000000000000711e+00,1.222392603345652518e+01,1.399321586130642459e+01,1.341390755367468879e+00
6.350000000000000533e+00,1.115849282889459282e+01,1.245689480422387874e+01,1.344100205806893378e+00
6.400000000000000355e+00,9.764616803408269874e+00,1.158365405009008953e+01,1.346809656246317655e+00
6.450000000000000178e+00,1.027037077679781341e+01,1.489773672927953285e+01,1.349519106685741932e+00
6.500000000000000000e+00,4.741362026463335155e+00,1.330696433317020322e+01,1.352228557125166208e+00
6.550000000000000711e+00,6.072191894831268755e+00,1.441491139975366309e+01,1.354938007564590707e+00
6.600000000000000533e+00,2.786814577325729125e+00,1.125055230388500327e+01,1.357647458004014984e+00
6.650000000000000355e+00,-3.638177815087527467e+00,1.117808611274847586e+01,1.360356908443439483e+00
6.700000000000000178e+00,-9.604994367652839315e-01,9.279819177610054481e+00,1.363066358882863760e+00
6.750000000000000000e+00,-2.873340438847320932e+00,1.179150253019575345e+01,1.365775809322288037e+00
6.800000000000000711e+00,-3.777631984746129490e+00,1.128999310021958102e+01,1.368485259761712536e+00
6.850000000000000533e+00,-6.329857823327221134e+00,1.201602241455049835e+01,1.371194710201136813e+00
6.900000000000000355e+00,-7.452171821432763466e+00,9.929410564654384430e+00,1.373904160640561312e+00
6.950000000000000178e+00,-8.206817730192287996e+00,1.247832128015776831e+01,1.376613611079985589e+00
7.000000000000000000e+00,-3.108869422635269331e+00,9.505356951772698793e+00,1.379323061519409865e+00
7.050000000000000711e+00,-4.897469680726299401e+00,9.738075669477236573e+00,1.382032511958834142e+00
7.100000000000000533e+00,-8.095289959430724380e+00,9.839397810156068402e+00,1.384741962398258641e+00
7.150000000000000355e+00,-2.571526256074356809e+00,7.033505946542463860e+00,1.387451412837682918e+00
7.200000000000000178e+00,-4.277513824027534994e+00,9.371899316680831760e+00,1.390160863277107417e+00
7.250000000000000000e+00,-2.620852344878742968e-01,7.888973846467044027e+00,1.392870313716531694e+00
7.300000000000000711e+00,1.438282821475252549e+00,8.640689123357008228e+00,1.395579764155955971e+00
7.350000000000000533e+00,2.983730167401354105e+00,8.682431089005810065e+00,1.398289214595380470e+00
7.400000000000000355e+00,2.794860368068589729e+00,6.704806120708433959e+00,1.400998665034804747e+00
7.450000000000000178e+00,2.819207186100243678e+00,7.907583656280833928e+00,1.403708115474229023e+00
7.500000000000000000e+00,5.986729271043662592e+00,1.008141475680128352e+01,1.406417565913653522e+00
7.550000000000000711e+00,4.760360598478898808e+00,9.433859271066747709e+00,1.409127016353077799e+00
7.600000000000000533e+00,3.624577754508045757e+00,7.322997050298598154e+00,1.411836466792502076e+00
7.650000000000000355e+00,1.237991635711440441e+00,6.329465846707168275e+00,1.414545917231926575e+00
7.700000000000000178e+00,4.037758759871730163e+00,7.680742945386176856e+00,1.417255367671350852e+00
7.750000000000000000e+00,6.746721827960460161e-01,4.440669816818827442e+00,1.419964818110775351e+00
7.800000000000000711e+00,-1.892020036071779820e+00,4.998186264876381735e+00,1.422674268550199628e+00
7.850000000000000533e+00,-3.858840227397725808e+00,4.796248470560460220e+00,1.425383718989623905e+00
7.900000000000000355e+00,-3.553135975360316223e+00,7.573427170724507995e+00,1.428093169429048181e+00
7.950000000000000178e+00,-5.425137483343073441e+00,8.092559457222584740e+00,1.430802619868472680e+00
8.000000000000000000e+00,-5.096586923423085835e+00,4.747048983668053168e+00,1.433512070307896957e+00
8.050000000000000711e+00,-8.545849713250472490e+00,8.134041801986199971e+00,1.436221520747321456e+00
8.099999999999999645e+00,-9.981364713741522010e+00,7.920705916527673196e+00,1.438930971186745733e+00
8.150000000000000355e+00,-1.372066912761204982e+01,6.324001879440761975e+00,1.441640421626170010e+00
8.200000000000001066e+00,-9.015975469789209384e+00,8.488825797739865564e+00,1.444349872065594509e+00
8.250000000000000000e+00,-1.365524870949558967e+01,8.328035518724243857e+00,1.447059322505018786e+00
8.300000000000000711e+00,-9.361098479793284355e+00,8.444889394631760027e+00,1.449768772944443285e+00
8.349999999999999645e+00,-7.936812180770218106e+00,8.902336641853235477e+00,1.452478223383867562e+00
8.400000000000000355e+00,-4.868376382312419537e+00,6.179952943209123362e+00,1.455187673823291838e+00
8.450000000000001066e+00,-3.078215003616065815e+00,1.054411909216732113e+01,1.457897124262716337e+00
8.500000000000000000e+00,-2.371497632035697301e+00,6.118017216970613958e+00,1.460606574702140614e+00
8.550000000000000711e+00,1.917951541598555298e+00,9.491620564896940948e+00,1.463316025141564891e+00
8.599999999999999645e+00,3.165718411750686911e+00,1.200006878709434410e+01,1.466025475580989390e+00
8.650000000000000355e+00,7.653996408974309773e+00,7.572213448889055343e+00,1.468734926020413667e+00
8.700000000000001066e+00,5.973616257742854430e+00,9.845096448566042824e+00,1.471444376459837944e+00
8.750000000000000000e+00,9.513835675847396089e+00,1.020311208020256188e+01,1.474153826899262221e+00
8.800000000000000711e+00,9.715985249776665000e+00,9.235281592551885410e+00,1.476863277338686720e+00
8.849999999999999645e+00,8.555709162187614680e+00,8.032494508310273673e+00,1.479572727778110997e+00
8.900000000000000355e+00,9.178378833537882642e+00,9.306871847688418242e+00,1.482282178217535495e+00
8.950000000000001066e+00,7.621322687265924323e+00,1.141930086713642467e+01,1.484991628656959772e+00
9.000000000000000000e+00,5.376655001688020796e+00,1.404247209939072860e+01,1.487701079096384049e+00
9.050000000000000711e+00,6.609679584375721006e+00,9.308744606180361814e+00,1.490410529535808548e+00
9.099999999999999645e+00,3.835444315006602878e+00,9.370604006710134826e+00,1.493119979975232825e+00
9.150000000000000355e+00,1.822401958939384725e+00,9.709784309682907733e+00,1.495829430414657324e+00
9.200000000000001066e+00,-3.368336799927548419e+00,1.432131374423532755e+01,1.498538880854081601e+00
9.250000000000000000e+00,-2.028449267116504640e+00,1.311465909951514952e+01,1.501248331293505878e+00
9.300000000000000711e+00,-3.029711099134437813e+00,1.232298708851732272e+01,1.503957781732930155e+00
9.349999999999999645e+00,-4.277412381336054281e+00,1.352859716142377344e+01,1.506667232172354653e+00
9.400000000000000355e+00,-2.958370737774495662e+00,1.502799009211386583e+01,1.509376682611779152e+00
9.450000000000001066e+00,-9.573492665801882850e+00,1.453266726984396406e+01,1.512086133051203429e+00
9.500000000000000000e+00,-3.760208674811583940e+00,9.287333739349522332e+00,1.514795583490627706e+00
9.550000000000000711e+00,-3.546114202950408689e+00,1.178939343403918016e+01,1.517505033930051983e+00
9.600000000000001421e+00,-2.615611278288584973e+00,1.432335672352411748e+01,1.520214484369476482e+00
9.650000000000000355e+00,-8.913335193200694340e-01,1.484380852234533954e+01,1.522923934808900759e+00
9.700000000000001066e+00,3.026120744178650845e+00,1.233723492941209621e+01,1.525633385248325258e+00
9.750000000000000000e+00,1.540165278858711240e+00,1.199085203618608908e+01,1.528342835687749535e+00
9.800000000000000711e+00,3.239471148234491338e+00,1.152186273008504891e+01,1.531052286127173812e+00
9.850000000000001421e+00,8.461336688220901792e+00,1.120974575152053454e+01,1.533761736566598310e+00
9.900000000000000355e+00,6.909267977094661006e+00,1.024002550531785438e+01,1.536471187006022587e+00
9.950000000000001066e+00,7.554808331417545375e+00,1.262676773205651060e+01,1.539180637445447086e+00
1.000000000000000000e+01,8.652212507448677314e+00,7.912913982969841165e+00,1.541890087884871363e+00
1.005000000000000071e+01,7.948338589198093551e+00,1.146502820620934138e+01,1.544599538324295640e+00
1.010000000000000142e+01,7.463598681033985827e+00,1.177237903913827921e+01,1.547308988763719917e+00
1.015000000000000036e+01,6.420478782200992107e+00,1.057169529563443078e+01,1.550018439203144194e+00
1.020000000000000107e+01,7.835950337047081327e+00,5.026464334120314348e+00,1.552727889642568915e+00
1.025000000000000000e+01,4.995484019723376079e+00,1.290560655058855133e+01,1.555437340081993192e+00
1.030000000000000071e+01,1.417396301657093183e+00,1.101519772253394258e+01,1.558146790521417469e+00
1.035000000000000142e+01,3.798038412430010613e+00,9.989193163926708863e+00,1.560856240960841745e+00
1.040000000000000036e+01,-4.113221225709395412e+00,1.240187776999625946e+01,1.563565691400266022e+00
1.045000000000000107e+01,-6.046578378705212309e+00,8.064514016415188280e+00,1.566275141839690521e+00
1.050000000000000000e+01,-4.539470578968979098e+00,7.542689575524645917e+00,1.568984592279114798e+00
1.055000000000000071e+01,-6.814263176909328479e+00,8.631194307757329653e+00,1.571694042718539297e+00
1.060000000000000142e+01,-8.722539182411537695e+00,8.669282933868151630e+00,1.574403493157963574e+00
1.065000000000000036e+01,-8.763960499993409314e+00,5.466785553409158283e+00,1.577112943597387851e+00
1.070000000000000107e+01,-1.096757005761749326e+01,1.006594386201453872e+01,1.579822394036812350e+00
1.075000000000000000e+01,-9.248235757789524669e+00,8.736693243834194433e+00,1.582531844476236627e+00
1.080000000000000071e+01,-6.746350235647262217e+00,9.079951376909898286e+00,1.585241294915661125e+00
1.085000000000000142e+01,-1.025273941543495404e+01,8.232253720470330549e+00,1.587950745355085402e+00
1.090000000000000036e+01,-5.430052941908903641e+00,1.617705348485369399e+00,1.590660195794509679e+00
1.095000000000000107e+01,-4.545012865317438866e+00,6.660673782580226465e+00,1.593369646233933956e+00
1.100000000000000000e+01,-2.643633666079857836e+00,7.715502236188282126e+00,1.596079096673358233e+00
1.105000000000000071e+01,-3.867856488758648625e-01,8.435927486191518554e+00,1.598788547112782732e+00
1.110000000000000142e+01,8.503865953874564232e-01,7.101906888977728372e+00,1.601497997552207231e+00
1.115000000000000036e+01,3.388007333364813078e+00,4.763734800215399190e+00,1.604207447991631508e+00
1.120000000000000107e+01,2.512515355764461944e-01,7.473336205654954156e+00,1.606916898431055785e+00
1.125000000000000000e+01,6.639516652726677570e+00,9.825031078088525049e+00,1.609626348870480061e+00
1.130000000000000071e+01,4.836682042526683212e+00,1.101993016175082651e+01,1.612335799309904560e+00
1.135000000000000142e+01,5.396103115757203916e+00,5.955370419066525756e+00,1.615045249749329059e+00
1.140000000000000036e+01,6.929187443240985012e+00,8.075007186221620614e+00,1.617754700188753336e+00
1.145000000000000107e+01,4.248247824457131117e+00,8.425868189048578927e+00,1.620464150628177613e+00
1.150000000000000000e+01,-1.527330752070955366e+00,8.966401196122806283e+00,1.623173601067601890e+00
1.155000000000000071e+01,2.262846402225979325e+00,9.029913999758381493e+00,1.625883051507026389e+00
1.160000000000000142e+01,-2.077462924860597582e+00,5.426561965070479943e+00,1.628592501946450888e+00
1.165000000000000036e+01,-2.110490021556609808e+00,7.678969215303096618e+00,1.631301952385875165e+00
1.170000000000000107e+01,-3.345364417271485813e+00,9.434386566684839437e+00,1.634011402825299442e+00
1.175000000000000000e+01,-4.362980629789691811e+00,7.292748634863020385e+00,1.636720853264723718e+00
1.180000000000000071e+01,-6.748984698161907048e+00,9.534991840302483368e+00,1.639430303704147995e+00
1.185000000000000142e+01,-6.342902190176254784e+00,7.714542550443136193e+00,1.642139754143572494e+00
1.190000000000000036e+01,-8.454859675299150723e+00,1.019451765659010078e+01,1.644849204582996771e+00
1.195000000000000107e+01,-5.895642525549675383e+00,1.208444515457019364e+01,1.647558655022421270e+00
1.200000000000000000e+01,-6.871228634239710864e+00,8.706689853613600150e+00,1.650268105461845547e+00
1.205000000000000071e+01,-6.829927775894853781e+00,1.337037378255553577e+01,1.652977555901269824e+00
1.210000000000000142e+01,-4.176521150204310473e+00,1.291915675139434683e+01,1.655687006340694323e+00
1.215000000000000036e+01,-7.116045985319630063e-01,1.109828534258993216e+01,1.658396456780118600e+00
1.220000000000000107e+01,2.140626548753358449e+00,1.025684353830729911e+01,1.661105907219543099e+00
1.225000000000000000e+01,4.337030553792132537e+00,1.533166159861908184e+01,1.663815357658967375e+00
1.230000000000000071e+01,3.379534907848087855e+00,1.240571963073143635e+01,1.666524808098391652e+00
1.235000000000000142e+01,6.470599757502284888e+00,9.375382458232586202e+00,1.669234258537815929e+00
1.240000000000000036e+01,7.920772082722698393e+00,6.661592400736751074e+00,1.671943708977240428e+00
1.245000000000000107e+01,8.338468199607051545e+00,1.333137549461196869e+01,1.674653159416664927e+00
1.250000000000000000e+01,1.304877843872797705e+01,1.501236774100019034e+01,1.677362609856089204e+00
1.255000000000000071e+01,1.169013698746265817e+01,1.518148547726763375e+01,1.680072060295513481e+00
1.260000000000000142e+01,1.200362417086745914e+01,8.946853991303044040e+00,1.682781510734937758e+00
1.265000000000000036e+01,1.058531716605188677e+01,9.875417665968910796e+00,1.685490961174362035e+00
1.270000000000000107e+01,9.716816996488029545e+00,1.417614650768165063e+01,1.688200411613786533e+00
1.275000000000000000e+01,7.190204193789430320e+00,1.313679866624349479e+01,1.690909862053210810e+00
1.280000000000000071e+01,4.899936121181446502e+00,1.211374505112017452e+01,1.693619312492635309e+00
1.285000000000000142e+01,3.691305924558257345e+00,1.003896651254621730e+01,1.696328762932059586e+00
1.290000000000000036e+01,1.765491252022243440e+00,1.290755549473639441e+01,1.699038213371483863e+00
1.295000000000000107e+01,-1.623884581915802094e-01,1.314978542770544578e+01,1.701747663810908362e+00
1.300000000000000000e+01,-2.099414245192491091e+00,1.325026439771818865e+01,1.704457114250332639e+00
1.305000000000000071e+01,-5.749498196731995137e+00,1.245145476322298705e+01,1.707166564689757138e+00
1.310000000000000142e+01,-5.680439115293833829e+00,9.995466431823656350e+00,1.709876015129181415e+00
1.315000000000000036e+01,-5.421532276009033424e+00,9.849132789787505615e+00,1.712585465568605692e+00
1.320000000000000107e+01,-6.162632169965672091e+00,9.354559333083720674e+00,1.715294916008029968e+00
1.325000000000000000e+01,-4.484622382828572285e+00,9.507786528107791568e+00,1.718004366447454467e+00
1.330000000000000071e+01,-7.205882625704234101e+00,1.185536494212665026e+01,1.720713816886878966e+00
1.335000000000000142e+01,-3.291105606087517899e+00,1.131562371665862976e+01,1.723423267326303243e+00
1.340000000000000036e+01,-3.566633934441765685e+00,9.503086890926159214e+00,1.726132717765727520e+00
1.345000000000000107e+01,-2.778695755155141889e+00,7.228244242643791395e+00,1.728842168205151797e+00
1.350000000000000000e+01,-8.759492847828671547e-01,8.001823271759374023e+00,1.731551618644576074e+00
1.355000000000000071e+01,-4.196383233146647740e+00,9.219307582678343493e+00,1.734261069084000573e+00
1.360000000000000142e+01,3.038512522424500872e+00,1.195747206020473286e+01,1.736970519523425072e+00
1.365000000000000036e+01,4.657284409316336138e+00,1.054355784907629889e+01,1.739679969962849349e+00
1.370000000000000107e+01,5.132648736392404487e+00,8.954667510541536757e+00,1.742389420402273625e+00
1.375000000000000000e+01,7.170473594737581280e+00,9.051731603572957141e+00,1.745098870841697902e+00
1.380000000000000071e+01,5.502977370404922297e+00,5.766788644546819498e+00,1.747808321281122401e+00
1.385000000000000142e+01,5.784234635557573334e+00,7.864648734928717744e+00,1.750517771720546900e+00
1.390000000000000036e+01,5.939517609796163278e+00,6.079424638110923595e+00,1.753227222159971177e+00
1.395000000000000107e+01,4.867728446429709699e+00,5.295154872656139489e+00,1.755936672599395454e+00
1.400000000000000000e+01,2.718578357282535052e-01,9.579768308313093783e+00,1.758646123038819731e+00
1.405000000000000071e+01,5.297702554025875976e-01,5.811498351760494785e+00,1.761355573478244008e+00
1.410000000000000142e+01,-3.783548879360965955e+00,1.144685169618332843e+01,1.764065023917668507e+00
1.415000000000000036e+01,-3.200692195623930036e+00,8.847962846301543394e+00,1.766774474357093005e+00
1.420000000000000107e+01,-7.172989849943003371e+00,6.437564057540086537e+00,1.769483924796517282e+00
1.425000000000000000e+01,-9.015909916346991793e+00,6.708318652231707091e+00,1.772193375235941559e+00
1.430000000000000071e+01,-7.912512225213655270e+00,4.363190211678301900e+00,1.774902825675365836e+00
